Ano,Regiao,Sub_Regiao,Pais,Mes,GeoCodUnidMaior,UnidMaior,GeoCodUnidMenor,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
2004,América Latina,México,México,7,MEX-SLP,San Luis Potosi,...,Sin Informacion,Ovinos,Otros ADIE,1,0
2004,América Latina,México,México,7,MEX-SLP,San Luis Potosi,...,Sin Informacion,Bovinos,Bovinos,2,0
2004,América Latina,México,México,7,MEX-SLP,San Luis Potosi,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Venezuela,7,VEN-ZUL,Zulia,VEN-2312,Mara,Perros,Perros,4,0
2004,América Latina,Área Andina,Venezuela,7,VEN-ZUL,Zulia,VEN-2317,San Francisco,Perros,Perros,1,0
2004,América Latina,México,México,6,MEX-CDZ,Coahuila,...,Sin Informacion,Gato Montés,Otros Animais Silvestres,1,0
2004,América Latina,México,México,4,MEX-YCT,Yucatan,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,México,México,6,MEX-YCT,Yucatan,...,Sin Informacion,Equinos,Otros ADIE,1,0
2004,América Latina,México,México,6,MEX-HDL,Hidalgo,...,Sin Informacion,Bovinos,Bovinos,2,0
2004,América Latina,México,México,7,MEX-SLP,San Luis Potosi,MEX-SLP-000006,Cd. Valles,Bovinos,Bovinos,1,0
2004,América Latina,México,México,7,MEX-SLP,San Luis Potosi,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Cono Sur,Paraguay,7,PRY-BQR,Boqueron,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Cono Sur,Paraguay,7,PRY-APR,Alto Paraguay,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Cono Sur,Paraguay,7,PRY-PHA,Presidente Hayes,PRY-PHA-10842,Villa Hayes,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,7,PER-HUA,Huanuco,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,7,PER-APR,Apurimac,...,Sin Informacion,Bovinos,Bovinos,2,0
2004,América Latina,Brasil,Brasil,4,...,Sin Informacion,...,Sin Informacion,Perros,Perros,4,0
2004,América Latina,Área Andina,Perú,7,PER-UCY,Ucayali,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,7,PER-LOR,Loreto,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,7,PER-MDD,Madre de Dios,...,Sin Informacion,Bovinos,Bovinos,2,0
2004,América Latina,Área Andina,Bolivia,7,BOL-CCH,Cochabamba,...,Sin Informacion,Perros,Perros,4,0
2004,América Latina,Área Andina,Bolivia,7,BOL-LPA,La Paz,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,7,BOL-POT,Potosi,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,América Central,Panamá,7,PAN-DAR,Darien,PAN-DAR-000001,Region 10,Bovinos,Bovinos,1,0
2004,América Latina,América Central,Panamá,7,PAN-COL,Colon,PAN-COL-000002,R6,Bovinos,Bovinos,1,0
2004,América Latina,América Central,El Salvador,7,SLV-SMI,San Miguel,SLV-SMI-000008,San Miguel,Perros,Perros,1,0
2004,América Latina,América Central,El Salvador,7,SLV-SMI,San Miguel,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,América Central,El Salvador,7,SLV-LUN,La Union,SLV-LUN-000005,Intipucá,Perros,Perros,1,0
2004,América Latina,América Central,El Salvador,7,SLV-SNS,Sonsonate,SLV-SNS-000006,Sonsonate,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Perú,7,PER-LIM,Lima,...,Sin Informacion,Perros,Perros,2,0
2004,América Latina,Área Andina,Perú,7,PER-MDD,Madre de Dios,...,Sin Informacion,Bovinos,Bovinos,1,NULL
2004,América Latina,México,México,7,MEX-OAX,Oaxaca,...,Sin Informacion,Equinos,Otros ADIE,1,0
2004,América Latina,México,México,7,MEX-GRR,Guerrero,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Cono Sur,Paraguay,7,PRY-AMM,Amambay,PRY-AMM-10854,Capitan Bado,Bovinos,Bovinos,1,0
2004,América Latina,México,México,7,MEX-VLL,Veracruz,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,México,México,7,MEX-CMP,Campeche,MEX-CMP-000007,Candelaria,Bovinos,Bovinos,2,0
2004,América Latina,México,México,7,MEX-CMP,Campeche,MEX-CMP-000003,Cd. Del Carmen,Bovinos,Bovinos,2,0
2004,América Latina,México,México,7,MEX-CMP,Campeche,MEX-CMP-000004,Champoton,Bovinos,Bovinos,3,0
2004,América Latina,México,México,7,MEX-CMP,Campeche,MEX-CMP-000006,Escarcega,Bovinos,Bovinos,1,0
2004,América Latina,Caribe Latino,República Dominicana,7,DOM-SDM,Santo Domingo,DOM-SDM-000005,Distrito Nacional,Bovinos,Bovinos,1,0
2004,América Latina,Caribe Latino,República Dominicana,7,DOM-MCR,Monte Cristi,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Caribe Latino,República Dominicana,7,DOM-DJB,Dajabón,DOM-DJB-000002,Dajabon,Perros,Perros,1,0
2004,América Latina,Caribe Latino,República Dominicana,7,DOM-HMJ,Hato Major,DOM-HMJ-000002,Hato Mayor,Bovinos,Bovinos,1,0
2004,América Latina,Caribe Latino,República Dominicana,7,DOM-MCR,Monte Cristi,...,Sin Informacion,Gatos,Gatos,1,0
2004,América Latina,América Central,Costa Rica,7,CRI-ALJ,Alajuela,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Venezuela,7,VEN-ZUL,Zulia,VEN-2313,Maracaibo,Perros,Perros,2,0
2004,América Latina,Área Andina,Venezuela,7,VEN-ZUL,Zulia,VEN-2307,Jesus Enrique Lozada,Perros,Perros,1,0
2004,América Latina,Área Andina,Venezuela,7,VEN-ZUL,Zulia,VEN-2316,Rosario De Perija,Perros,Perros,2,0
2004,América Latina,Área Andina,Venezuela,7,VEN-ZUL,Zulia,VEN-2312,Mara,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,7,BOL-CCH,Cochabamba,...,Sin Informacion,Perros,Perros,9,0
2004,América Latina,Área Andina,Bolivia,7,BOL-LPA,La Paz,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,7,BOL-CHQ,Chuquisaca,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,7,BOL-SCR,Santa Cruz,...,Sin Informacion,Bovinos,Bovinos,1,0
