Ano,Mes,Semana,Regiao,Sub_Regiao,Pais,UnidMaior,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
1972,0,0,Latin America,Central America,Nicaragua,NA,NA,Cats,Cats,20,NA
1972,0,0,Latin America,Central America,Nicaragua,NA,NA,Dogs,Dogs,169,NA
1972,0,0,Latin America,Central America,Nicaragua,NA,NA,Humans,Humans,3,NA
1972,0,0,Latin America,Central America,Nicaragua,NA,NA,Wildlife,Other Wild Lives,6,NA
1972,0,0,Latin America,Central America,Panama,NA,NA,Cats,Cats,4,NA
1972,0,0,Latin America,Central America,Panama,NA,NA,Dogs,Dogs,6,NA
1972,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Cats,Cats,31,NA
1972,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Dogs,Dogs,163,NA
1972,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Humans,Humans,1,NA
1972,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Wildlife,Other Wild Lives,27,NA
